,time,astropy,icecube
3,2023-01-02 00:10:08.773523,178.3797340229822,271.6184226915394
2,2023-01-02 08:03:06.451166,60.17780222444757,29.817666669282453
20,2023-01-02 08:20:15.550578,55.89127700368963,34.10368860383293
21,2023-01-02 16:03:49.659788,300.0365696881068,149.95989411663157
0,2023-01-03 00:10:05.684953,178.50885819529663,271.48964185726976
11,2023-01-03 08:04:00.812125,60.067127605283005,29.926824744563252
23,2023-01-03 08:21:03.734165,55.80631477744243,34.18787429354006
8,2023-01-03 16:04:32.209150,299.97457207348475,150.0237527738359
