2024-08-21 12:50:45 - {'stat': 'median', 'amp': 3.633477840092888, 'amp_std': 1.1423581494642883, 'phase': -3.009531346154768, 'phase_std': 0.379914162776988, 'amp2': 2.759214579993305, 'amp2_std': 1.1655806548497578, 'phase2': -4.239777813785343, 'phase2_std': 0.4938581415010097}
2024-08-21 12:53:40 - {'stat': 'median', 'amp': 3.633477840092888, 'amp_std': 1.1423581494642883, 'phase': -3.009531346154768, 'phase_std': 0.379914162776988, 'amp2': 2.759214579993305, 'amp2_std': 1.1655806548497578, 'phase2': -4.239777813785343, 'phase2_std': 0.4938581415010097}
2024-08-21 12:54:44 - {'stat': 'median', 'amp': 3.633477840092888, 'amp_std': 1.1423581494642883, 'phase': -3.009531346154768, 'phase_std': 0.379914162776988, 'amp2': 2.759214579993305, 'amp2_std': 1.1655806548497578, 'phase2': -4.239777813785343, 'phase2_std': 0.4938581415010097}
2024-08-21 13:11:48 - {'stat': 'median', 'amp': 3.79010595381297, 'amp_std': 1.137702504206091, 'phase': -2.904658751492429, 'phase_std': 0.3606315609753903, 'amp2': 2.8367153433451495, 'amp2_std': 1.142253755215609, 'phase2': -4.095196603863739, 'phase2_std': 0.48129162782011997}
2024-08-21 13:11:48 - {'stat': 'median', 'amp': 5.6334452177317775, 'amp_std': 1.8896448968791293, 'phase': -2.4773848844993385, 'phase_std': 0.36524947731285984, 'amp2': 4.3846759215226605, 'amp2_std': 1.8968157732710238, 'phase2': -3.398688167052176, 'phase2_std': 0.46850720674473884}
2024-08-21 13:11:49 - {'stat': 'median', 'amp': 6.771512365221424, 'amp_std': 2.6456386122810307, 'phase': 3.582485597833715, 'phase_std': 0.4537950184613998, 'amp2': 5.908669909336238, 'amp2_std': 2.64947216604558, 'phase2': 2.6402317162131475, 'phase2_std': 0.52020888471254}
2024-08-21 13:11:50 - {'stat': 'median', 'amp': 8.393968682788781, 'amp_std': 3.92127330467962, 'phase': -2.4519398215830974, 'phase_std': 0.5042841338171735, 'amp2': 7.172999054181867, 'amp2_std': 3.945808715113598, 'phase2': -3.3593376008386406, 'phase2_std': 0.5878387567547257}
2024-08-21 13:11:50 - {'stat': 'median', 'amp': 5.717719741161666, 'amp_std': 1.7993543185912786, 'phase': -2.4850877087848424, 'phase_std': 0.34367588480431877, 'amp2': 4.462500199462895, 'amp2_std': 1.802734660487966, 'phase2': -3.4172817581687505, 'phase2_std': 0.4401940176565536}
2024-08-21 13:11:51 - {'stat': 'median', 'amp': 6.068722529472795, 'amp_std': 2.0097616845290855, 'phase': -2.69749418037876, 'phase_std': 0.38444751259781185, 'amp2': 5.053460117983076, 'amp2_std': 2.0054360565363387, 'phase2': -3.6687588185074795, 'phase2_std': 0.4629844159619209}
2024-08-21 13:13:53 - {'stat': 'median', 'amp': 3.79010595381297, 'amp_std': 1.137702504206091, 'phase': -2.904658751492429, 'phase_std': 0.3606315609753903, 'amp2': 2.8367153433451495, 'amp2_std': 1.142253755215609, 'phase2': -4.095196603863739, 'phase2_std': 0.48129162782011997}
2024-08-21 13:15:09 - {'stat': 'median', 'amp': 3.633477840092888, 'amp_std': 1.1423581494642883, 'phase': -3.009531346154768, 'phase_std': 0.379914162776988, 'amp2': 2.759214579993305, 'amp2_std': 1.1655806548497578, 'phase2': -4.239777813785343, 'phase2_std': 0.4938581415010097}
