2024-08-30 10:25:24 - {'freq': '70-150', 'ant': 0, 'pol': 0, 'init_time': '2024-01-05', 'final_time': '2024-01-26'}
2024-08-30 10:26:46 - {'freq': '70-150', 'ant': 0, 'pol': 0, 'init_time': '2024-01-05', 'final_time': '2024-01-09'}
2024-08-30 10:26:46 - {'A1': 3.7157846095229443, 'phi1': -1.1775377281467991, 'A2': 3.680818098892439, 'phi2': 2.1419291381214527, 'mean': 0.0407634117681881}
2024-08-30 10:26:46 - {'A1_std': 0.4113330576950159, 'phi1_std': 0.11803801711370797, 'A2_std': 0.40564683102123633, 'phi2_std': 0.12093856860729889, 'mean_std': 0.007624523195745787}
2024-08-30 10:26:46 - {'freq': '70-150', 'ant': 0, 'pol': 1, 'init_time': '2024-01-05', 'final_time': '2024-01-09'}
2024-08-30 10:26:46 - {'A1': 4.703258549742587, 'phi1': 0.9585196809810393, 'A2': 4.51450499698328, 'phi2': -2.115842717924173, 'mean': 0.0656947127888231}
2024-08-30 10:26:46 - {'A1_std': 0.3022276394957345, 'phi1_std': 0.052121072843289054, 'A2_std': 0.30206796621096355, 'phi2_std': 0.05456037277261655, 'mean_std': 0.004933913796988751}
2024-08-30 10:26:46 - {'freq': '70-150', 'ant': 1, 'pol': 0, 'init_time': '2024-01-05', 'final_time': '2024-01-09'}
2024-08-30 10:26:46 - {'A1': 2.4693514940600454, 'phi1': 0.6543008126458731, 'A2': 2.412163207759113, 'phi2': 3.89269084834076, 'mean': -0.002099238733423697}
2024-08-30 10:26:46 - {'A1_std': 0.1429617911556257, 'phi1_std': 0.04955169268277686, 'A2_std': 0.14300723987717234, 'phi2_std': 0.0509043570221129, 'mean_std': 0.0023858493882313735}
2024-08-30 10:26:46 - {'freq': '70-150', 'ant': 1, 'pol': 1, 'init_time': '2024-01-05', 'final_time': '2024-01-09'}
2024-08-30 10:26:46 - {'A1': 1.665502138951038, 'phi1': -1.1989729891056715, 'A2': 1.6850275842397555, 'phi2': 2.1650184199564717, 'mean': 0.04339085428811633}
2024-08-30 10:26:46 - {'A1_std': 0.5047746484198617, 'phi1_std': 0.32040078643607395, 'A2_std': 0.4932620561430215, 'phi2_std': 0.3240476865040362, 'mean_std': 0.009314175583337157}
2024-08-30 10:26:46 - {'freq': '70-150', 'ant': 2, 'pol': 0, 'init_time': '2024-01-05', 'final_time': '2024-01-09'}
2024-08-30 10:26:46 - {'A1': 5.022474683795244, 'phi1': -1.6454030891518534, 'A2': 5.186606503723464, 'phi2': 1.6810766275535856, 'mean': 0.1910566223099913}
2024-08-30 10:26:46 - {'A1_std': 0.41468678664755865, 'phi1_std': 0.07309888302130835, 'A2_std': 0.40941079464184543, 'phi2_std': 0.07220257215093488, 'mean_std': 0.0070224214694561355}
2024-08-30 10:26:47 - {'freq': '70-150', 'ant': 2, 'pol': 1, 'init_time': '2024-01-05', 'final_time': '2024-01-09'}
2024-08-30 10:26:47 - {'A1': 5.614156222920187, 'phi1': -0.09562417167175027, 'A2': 5.479749596265714, 'phi2': 3.155086831224336, 'mean': -0.049291794066440214}
2024-08-30 10:26:47 - {'A1_std': 0.21506958206171828, 'phi1_std': 0.04357587052906475, 'A2_std': 0.2160613159150467, 'phi2_std': 0.044613681003427046, 'mean_std': 0.0041299604672649926}
2024-08-30 10:26:48 - -
2024-08-30 15:26:48 - {'freq': '70-150', 'ant': 0, 'pol': 0, 'init_time': '2024-01-05', 'final_time': '2024-01-09'}
2024-08-30 15:26:48 - {'A1': 3.7157846095229443, 'phi1': -1.1775377281467991, 'A2': 3.680818098892439, 'phi2': 2.1419291381214527, 'mean': 0.0407634117681881}
2024-08-30 15:26:48 - {'A1_std': 0.4113330576950159, 'phi1_std': 0.11803801711370797, 'A2_std': 0.40564683102123633, 'phi2_std': 0.12093856860729889, 'mean_std': 0.007624523195745787}
2024-08-30 15:26:48 - {'freq': '70-150', 'ant': 0, 'pol': 1, 'init_time': '2024-01-05', 'final_time': '2024-01-09'}
2024-08-30 15:26:48 - {'A1': 4.703258549742587, 'phi1': 0.9585196809810393, 'A2': 4.51450499698328, 'phi2': -2.115842717924173, 'mean': 0.0656947127888231}
2024-08-30 15:26:48 - {'A1_std': 0.3022276394957345, 'phi1_std': 0.052121072843289054, 'A2_std': 0.30206796621096355, 'phi2_std': 0.05456037277261655, 'mean_std': 0.004933913796988751}
2024-08-30 15:26:48 - {'freq': '70-150', 'ant': 1, 'pol': 0, 'init_time': '2024-01-05', 'final_time': '2024-01-09'}
2024-08-30 15:26:48 - {'A1': 2.4693514940600454, 'phi1': 0.6543008126458731, 'A2': 2.412163207759113, 'phi2': 3.89269084834076, 'mean': -0.002099238733423697}
2024-08-30 15:26:48 - {'A1_std': 0.1429617911556257, 'phi1_std': 0.04955169268277686, 'A2_std': 0.14300723987717234, 'phi2_std': 0.0509043570221129, 'mean_std': 0.0023858493882313735}
2024-08-30 15:26:48 - {'freq': '70-150', 'ant': 1, 'pol': 1, 'init_time': '2024-01-05', 'final_time': '2024-01-09'}
2024-08-30 15:26:48 - {'A1': 1.665502138951038, 'phi1': -1.1989729891056715, 'A2': 1.6850275842397555, 'phi2': 2.1650184199564717, 'mean': 0.04339085428811633}
2024-08-30 15:26:48 - {'A1_std': 0.5047746484198617, 'phi1_std': 0.32040078643607395, 'A2_std': 0.4932620561430215, 'phi2_std': 0.3240476865040362, 'mean_std': 0.009314175583337157}
2024-08-30 15:26:49 - {'freq': '70-150', 'ant': 2, 'pol': 0, 'init_time': '2024-01-05', 'final_time': '2024-01-09'}
2024-08-30 15:26:49 - {'A1': 5.022474683795244, 'phi1': -1.6454030891518534, 'A2': 5.186606503723464, 'phi2': 1.6810766275535856, 'mean': 0.1910566223099913}
2024-08-30 15:26:49 - {'A1_std': 0.41468678664755865, 'phi1_std': 0.07309888302130835, 'A2_std': 0.40941079464184543, 'phi2_std': 0.07220257215093488, 'mean_std': 0.0070224214694561355}
2024-08-30 15:26:49 - {'freq': '70-150', 'ant': 2, 'pol': 1, 'init_time': '2024-01-05', 'final_time': '2024-01-09'}
2024-08-30 15:26:49 - {'A1': 5.614156222920187, 'phi1': -0.09562417167175027, 'A2': 5.479749596265714, 'phi2': 3.155086831224336, 'mean': -0.049291794066440214}
2024-08-30 15:26:49 - {'A1_std': 0.21506958206171828, 'phi1_std': 0.04357587052906475, 'A2_std': 0.2160613159150467, 'phi2_std': 0.044613681003427046, 'mean_std': 0.0041299604672649926}
2024-08-30 15:26:51 - -
2024-08-30 15:28:02 - {'freq': '70-150', 'ant': 0, 'pol': 0, 'init_time': '2024-01-05', 'final_time': '2024-01-09'}
2024-08-30 15:28:02 - {'A1': 3.7157846095229443, 'phi1': -1.1775377281467991, 'A2': 3.680818098892439, 'phi2': 2.1419291381214527, 'mean': 0.0407634117681881}
2024-08-30 15:28:02 - {'A1_std': 0.4113330576950159, 'phi1_std': 0.11803801711370797, 'A2_std': 0.40564683102123633, 'phi2_std': 0.12093856860729889, 'mean_std': 0.007624523195745787}
2024-08-30 15:28:03 - {'freq': '70-150', 'ant': 0, 'pol': 1, 'init_time': '2024-01-05', 'final_time': '2024-01-09'}
2024-08-30 15:28:03 - {'A1': 4.703258549742587, 'phi1': 0.9585196809810393, 'A2': 4.51450499698328, 'phi2': -2.115842717924173, 'mean': 0.0656947127888231}
2024-08-30 15:28:03 - {'A1_std': 0.3022276394957345, 'phi1_std': 0.052121072843289054, 'A2_std': 0.30206796621096355, 'phi2_std': 0.05456037277261655, 'mean_std': 0.004933913796988751}
2024-08-30 15:28:03 - {'freq': '70-150', 'ant': 1, 'pol': 0, 'init_time': '2024-01-05', 'final_time': '2024-01-09'}
2024-08-30 15:28:03 - {'A1': 2.4693514940600454, 'phi1': 0.6543008126458731, 'A2': 2.412163207759113, 'phi2': 3.89269084834076, 'mean': -0.002099238733423697}
